"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
South Africa,202,+52,,,,202,,3
Panama,200,+63,1,,1,198,7,46
Lebanon,177,+20,4,,4,169,3,26
Mexico,164,+46,1,,4,159,1,1
Kuwait,159,+11,,,22,137,5,37
Argentina,158,+30,3,,3,152,,3
San Marino,151,+7,14,,4,133,12,"4,450"
Colombia,145,+37,,,1,144,,3
UAE,140,,2,+2,31,107,2,14
Slovakia,137,+13,,,,137,2,25
Armenia,136,+14,,,1,135,2,46
Taiwan,135,+27,2,+1,28,105,,6
Serbia,135,+32,1,+1,2,132,4,15
Croatia,130,+20,1,,5,124,,32
Bulgaria,127,+20,3,,1,123,,18
Costa Rica,113,+26,2,+1,2,109,2,22
Latvia,111,+25,,,1,110,,59
Uruguay,110,+31,,,,110,,32
Algeria,94,+4,11,+2,32,51,,2
Vietnam,91,+6,,,17,74,,0.9
Bosnia and Herzegovina,89,+25,,,2,87,1,27
Morocco,86,+23,3,+1,2,81,1,2
Hungary,85,+12,4,+3,7,74,6,9
Jordan,85,+16,,,1,84,,8
Faeroe Islands,80,+8,,,3,77,,"1,637"
Brunei,78,+5,,,1,77,2,178
North Macedonia,76,+26,,,1,75,1,36
Andorra,75,+1,,,1,74,2,971
Cyprus,75,+8,,,,75,1,62
Sri Lanka,73,+13,,,3,70,,3
Dominican Republic,72,+38,2,,,70,,7
Albania,70,+6,2,,2,66,2,24
Belarus,69,+18,,,15,54,,7
Moldova,66,+17,1,,1,64,3,16
Venezuela,65,+23,,,1,64,,2
Malta,64,+11,,,2,62,1,145
Lithuania,63,+15,,,1,62,1,23
Tunisia,54,+15,1,,1,52,7,5
New Zealand,53,+25,,,,53,,11
Kazakhstan,52,+8,,,,52,,3
Cambodia,51,+14,,,1,50,,3
Oman,48,,,,13,35,,9
Palestine,48,+1,,,17,31,,9
Senegal,47,+11,,,5,42,,3
Guadeloupe,45,+12,,,,45,,112
Azerbaijan,44,,1,,7,36,,4
Georgia,44,+4,,,1,43,1,11
Ukraine,41,+15,3,,1,37,,0.9
Burkina Faso,40,+7,1,,4,35,,2
Uzbekistan,33,+10,,,,33,,1.0
Martinique,32,+9,1,,,31,7,85
Liechtenstein,28,,,,,28,,734
Réunion,28,,,,,28,,31
Cameroon,27,+14,,,2,25,,1
Afghanistan,24,+2,,,1,23,,0.6
Honduras,24,+12,,,,24,,2
Cuba,21,+10,1,,,20,,2
Bangladesh,20,+2,1,,3,16,1,0.1
Jamaica,19,+4,1,,2,16,,6
DRC,18,+4,,,,18,,0.2
Paraguay,18,+5,,,,18,1,3
Macao,17,,,,10,7,,26
Rwanda,17,+6,,,,17,,1
Bolivia,16,+1,,,,16,,1
Ghana,16,+5,,,,16,,0.5
Guyana,15,+10,1,,,14,,19
French Guiana,15,,,,,15,,50
Guam,14,+2,,,,14,,83
Montenegro,14,+1,,,,14,,22
Puerto Rico,14,+8,,,,14,,5
Maldives,13,,,,2,11,,24
Guatemala,12,+3,1,,,11,,0.7
Nigeria,12,,,,1,11,,0.06
Channel Islands,12,+1,,,,12,,69
Mauritius,12,+5,,,,12,,9
Monaco,11,+1,,,,11,,280
French Polynesia,11,+5,,,,11,,39
Gibraltar,10,,,,2,8,,297
Ivory Coast,9,,,,1,8,,0.3
Ethiopia,9,+2,,,,9,,0.08
Togo,9,+8,,,,9,,1
Trinidad and Tobago,9,,,,,9,,6
Kenya,7,,,,,7,,0.1
Seychelles,7,+1,,,,7,,71
Barbados,6,+1,,,,6,,21
Equatorial Guinea,6,,,,,6,,4
Kyrgyzstan,6,+3,,,,6,,0.9
Mayotte,6,+2,,,,6,,22
Mongolia,6,,,,,6,,2
Tanzania,6,,,,,6,,0.1
Aruba,5,,,,1,4,,47
Gabon,4,+1,1,+1,,3,,2
Bahamas,4,+1,,,,4,,10
Saint Martin,4,+1,,,,4,,103
Suriname,4,+3,,,,4,,7
Cayman Islands,3,,1,,,2,,46
Curaçao,3,,1,,,2,,18
CAR,3,+2,,,,3,,0.6
Congo,3,,,,,3,,0.5
Madagascar,3,+3,,,,3,,0.1
Namibia,3,,,,,3,,1
St. Barth,3,,,,,3,,304
U.S. Virgin Islands,3,,,,,3,,29
Sudan,2,,1,,,1,,0.05
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Bhutan,2,+1,,,,2,,3
Greenland,2,,,,,2,,35
Guinea,2,+1,,,,2,,0.2
Haiti,2,+2,,,,2,,0.2
Isle of Man,2,+1,,,,2,,24
Liberia,2,,,,,2,,0.4
Mauritania,2,,,,,2,,0.4
New Caledonia,2,,,,,2,,7
Nicaragua,2,+1,,,,2,,0.3
Saint Lucia,2,,,,,2,,11
Zambia,2,,,,,2,,0.1
Nepal,1,,,,1,0,,0.03
Angola,1,+1,,,,1,,0.03
Antigua and Barbuda,1,,,,,1,,10
Cabo Verde,1,+1,,,,1,,2
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
El Salvador,1,,,,,1,,0.2
Fiji,1,,,,,1,,1
Gambia,1,,,,,1,,0.4
Vatican City,1,,,,,1,,"1,248"
Montserrat,1,,,,,1,,200
Niger,1,,,,,1,,0.04
Papua New Guinea,1,+1,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Eswatini,1,,,,,1,,0.9
Zimbabwe,1,+1,,,,1,,0.07
