"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
Fiji,1,+1,,,,1,,1
Gambia,1,,,,,1,,0.4
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,"1,248"
Montserrat,1,,,,,1,,200
Nicaragua,1,+1,,,,1,,0.2
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Suriname,1,,,,,1,,2
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
